waveform	Ch0		Gen	
t0	04.02.2020  15:03:26,447537		04.02.2020  15:03:26,447541	
delta t	8,000000E-6		8,000000E-6	

time[0]	Ch0	time[1]	Gen
04.02.2020  15:03:26,449433	4,216205E+0	04.02.2020  15:03:26,449437	-1,011435E-3
04.02.2020  15:03:26,449441	4,198792E+0	04.02.2020  15:03:26,449445	-6,889837E-4
04.02.2020  15:03:26,449449	4,184604E+0	04.02.2020  15:03:26,449453	-3,665320E-4
04.02.2020  15:03:26,449457	4,170739E+0	04.02.2020  15:03:26,449461	-1,011435E-3
04.02.2020  15:03:26,449465	4,150101E+0	04.02.2020  15:03:26,449469	-4,408025E-5
04.02.2020  15:03:26,449473	4,135591E+0	04.02.2020  15:03:26,449477	-6,889837E-4
04.02.2020  15:03:26,449481	4,122048E+0	04.02.2020  15:03:26,449485	-3,665320E-4
04.02.2020  15:03:26,449489	4,108182E+0	04.02.2020  15:03:26,449493	-3,665320E-4
04.02.2020  15:03:26,449497	4,086577E+0	04.02.2020  15:03:26,449501	-6,889837E-4
04.02.2020  15:03:26,449505	4,073679E+0	04.02.2020  15:03:26,449509	-6,889837E-4
04.02.2020  15:03:26,449513	4,058201E+0	04.02.2020  15:03:26,449517	-3,665320E-4
04.02.2020  15:03:26,449521	4,040789E+0	04.02.2020  15:03:26,449525	-6,889837E-4
04.02.2020  15:03:26,449529	4,024666E+0	04.02.2020  15:03:26,449533	-3,665320E-4
04.02.2020  15:03:26,449537	4,011445E+0	04.02.2020  15:03:26,449541	-3,665320E-4
04.02.2020  15:03:26,449545	3,996290E+0	04.02.2020  15:03:26,449549	-3,665320E-4
04.02.2020  15:03:26,449553	3,975330E+0	04.02.2020  15:03:26,449557	-6,889837E-4
04.02.2020  15:03:26,449561	3,962432E+0	04.02.2020  15:03:26,449565	-6,889837E-4
04.02.2020  15:03:26,449569	3,946954E+0	04.02.2020  15:03:26,449573	-6,889837E-4
04.02.2020  15:03:26,449577	3,927606E+0	04.02.2020  15:03:26,449581	-3,665320E-4
04.02.2020  15:03:26,449585	3,914063E+0	04.02.2020  15:03:26,449589	-3,665320E-4
04.02.2020  15:03:26,449593	3,898585E+0	04.02.2020  15:03:26,449597	-6,889837E-4
04.02.2020  15:03:26,449601	3,882140E+0	04.02.2020  15:03:26,449605	-3,665320E-4
